Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-06-13,2016,6,13,Monday,24,2016-24,209.36,210.37,208.35,208.45,117751200,189.0,-0.0077117819919664266,190.66428571428568,188.3048
2016-06-14,2016,6,14,Tuesday,24,2016-24,208.0,208.74,206.92,208.04,125059300,188.62,-0.0019669680482942153,190.67499999999998,188.33720000000002
2016-06-15,2016,6,15,Wednesday,24,2016-24,208.04,209.36,207.53,207.75,109124500,188.36,-0.001393901569403222,190.57571428571427,188.4018
2016-06-16,2016,6,16,Thursday,24,2016-24,207.75,208.57,205.59,208.37,149533100,188.92,0.00298433128863973,190.51285714285714,188.437
2016-06-17,2016,6,17,Friday,24,2016-24,207.17,207.2,205.75,206.52,117055700,188.22,-0.003723918156021244,190.34142857142857,188.50300000000004
2016-06-20,2016,6,20,Monday,25,2016-25,208.82,209.61,207.75,207.85,82789600,189.43,0.006439940570109659,190.28214285714287,188.5832
2016-06-21,2016,6,21,Tuesday,25,2016-25,208.3,208.92,207.78,208.44,72461700,189.97,0.0028387440800763386,190.23357142857142,188.683
2016-06-22,2016,6,22,Wednesday,25,2016-25,208.65,209.5,207.93,208.1,95560500,189.66,-0.0016312597857314204,190.12142857142857,188.74220000000003
2016-06-23,2016,6,23,Thursday,25,2016-25,209.81,210.87,209.27,210.81,102731400,192.13,0.013022324651730033,190.22642857142858,188.813
2016-06-24,2016,6,24,Friday,25,2016-25,203.63,210.85,202.72,203.24,333444400,185.23,-0.035908919075181234,189.7692857142857,188.74560000000002
2016-06-27,2016,6,27,Monday,26,2016-26,201.59,201.6,198.65,199.6,230775800,181.91,-0.01790993628542681,189.05428571428573,188.616
2016-06-28,2016,6,28,Tuesday,26,2016-26,201.48,203.23,201.12,203.2,159382400,185.19,0.01803616392413243,188.5285714285714,188.52559999999997
2016-06-29,2016,6,29,Wednesday,26,2016-26,204.84,206.93,204.72,206.66,137328600,188.35,0.017027403853997036,188.24714285714285,188.4864
2016-06-30,2016,6,30,Thursday,26,2016-26,207.21,209.54,206.56,209.48,165021900,190.92,0.013645570493972414,188.2792857142857,188.495
2016-07-01,2016,7,1,Friday,26,2016-26,209.48,210.49,209.29,209.92,106055300,191.32,0.00210046338711134,188.445,188.53199999999998
2016-07-05,2016,7,5,Tuesday,27,2016-27,208.95,209.08,207.71,208.41,109803700,189.94,-0.00719317048380308,188.53928571428574,188.54139999999998
2016-07-06,2016,7,6,Wednesday,27,2016-27,207.83,209.8,207.06,209.66,96021500,191.08,0.005997866982345501,188.73357142857142,188.5802
2016-07-07,2016,7,7,Thursday,27,2016-27,209.87,210.65,208.63,209.53,85593800,190.96,-0.0006202309811403905,188.87928571428571,188.611
2016-07-08,2016,7,8,Friday,27,2016-27,211.05,212.94,210.78,212.65,133971000,193.81,0.014890786542566925,189.27857142857144,188.69100000000003
2016-07-11,2016,7,11,Monday,28,2016-28,213.19,214.07,212.95,213.4,73633900,194.49,0.0035267131158156495,189.64000000000001,188.81900000000002
2016-07-12,2016,7,12,Tuesday,28,2016-28,214.53,215.3,213.43,214.95,101275600,195.9,0.007263297536610924,190.0635714285714,188.99560000000002
2016-07-13,2016,7,13,Wednesday,28,2016-28,215.44,215.45,214.35,214.92,87324100,195.88,-0.00013957779896711653,190.50785714285712,189.142
2016-07-14,2016,7,14,Thursday,28,2016-28,216.4,216.67,215.66,216.12,91230900,196.97,0.005583501844600436,190.85357142857146,189.343
2016-07-15,2016,7,15,Friday,28,2016-28,216.78,217.01,215.31,215.83,107155400,196.71,-0.0013418185285919426,191.67357142857145,189.5596
2016-07-18,2016,7,18,Monday,29,2016-29,215.97,216.6,215.67,216.41,58725900,197.23,0.002687165277613923,192.76785714285714,189.78740000000002
2016-07-19,2016,7,19,Tuesday,29,2016-29,215.92,216.23,215.63,216.19,54345700,197.03,-0.0010164846280585893,193.61357142857145,189.99759999999998
2016-07-20,2016,7,20,Wednesday,29,2016-29,216.19,217.37,216.19,217.09,58159500,197.85,0.004163161741598254,194.29214285714284,190.22099999999998
2016-07-21,2016,7,21,Thursday,29,2016-29,216.96,217.22,215.75,216.27,67777300,197.11,-0.0037773376706508044,194.73428571428573,190.3832
2016-07-22,2016,7,22,Friday,29,2016-29,216.41,217.3,216.1,217.24,62787500,197.99,0.0044850572023620305,195.21071428571426,190.5984
2016-07-25,2016,7,25,Monday,30,2016-30,217.0,217.06,215.97,216.65,55873100,197.45,-0.0027158111939757923,195.74714285714285,190.80179999999996
2016-07-26,2016,7,26,Tuesday,30,2016-30,216.53,217.17,215.76,216.75,70080500,197.54,0.0004617373162112415,196.20857142857145,191.03959999999998
2016-07-27,2016,7,27,Wednesday,30,2016-30,217.19,217.27,215.62,216.52,84083900,197.33,-0.0010613125841316684,196.66357142857143,191.2366
2016-07-28,2016,7,28,Thursday,30,2016-30,216.29,217.11,215.75,216.77,65035700,197.56,0.0011546884270496882,196.93142857142857,191.4732
2016-07-29,2016,7,29,Friday,30,2016-30,216.46,217.54,216.13,217.12,79519400,197.88,0.0016146838761619264,197.17357142857142,191.715
2016-08-01,2016,8,1,Monday,31,2016-31,217.19,217.65,216.41,216.94,73311400,197.72,-0.0008291737133194754,197.30357142857142,191.9666
2016-08-02,2016,8,2,Tuesday,31,2016-31,216.65,216.83,214.57,215.55,92295500,196.45,-0.006407292596865455,197.34428571428572,192.16940000000002
2016-08-03,2016,8,3,Wednesday,31,2016-31,215.48,216.25,215.13,216.18,53993600,197.02,0.002922819241300445,197.34785714285712,192.38859999999997
2016-08-04,2016,8,4,Thursday,31,2016-31,216.31,216.78,214.25,216.41,46585500,197.23,0.0010637238342137145,197.385,192.56380000000001
2016-08-05,2016,8,5,Friday,31,2016-31,216.41,218.23,216.41,218.18,71892200,198.85,0.008179223747383224,197.50071428571428,192.74580000000003
2016-08-08,2016,8,8,Monday,32,2016-32,218.4,218.52,217.74,218.05,39906500,198.73,-0.0005960874471334643,197.62214285714285,192.92440000000002
2016-08-09,2016,8,9,Tuesday,32,2016-32,218.13,218.76,217.8,218.18,51251700,198.85,0.0005964429793063886,197.69357142857143,193.08900000000003
2016-08-10,2016,8,10,Wednesday,32,2016-32,218.31,218.4,217.23,217.64,57941100,198.35,-0.002475205547726289,197.78214285714284,193.25079999999997
2016-08-11,2016,8,11,Thursday,32,2016-32,218.26,218.94,217.95,218.65,72504300,199.28,0.004640679650405044,197.87428571428572,193.42340000000002
2016-08-12,2016,8,12,Friday,32,2016-32,218.29,218.71,217.99,218.46,61313500,199.1,-0.0008690082440543367,197.99214285714285,193.5808
2016-08-15,2016,8,15,Monday,33,2016-33,218.89,219.5,218.88,219.09,49813500,199.68,0.002883885997679636,198.14499999999998,193.76120000000003
2016-08-16,2016,8,16,Tuesday,33,2016-33,218.6,218.68,217.96,217.96,53213600,198.65,-0.005157498137703831,198.2392857142857,193.9016
2016-08-17,2016,8,17,Wednesday,33,2016-33,218.0,218.53,217.02,218.37,75134300,199.02,0.0018810147555345935,198.34357142857144,194.0436
2016-08-18,2016,8,18,Thursday,33,2016-33,218.34,218.9,218.21,218.86,52989300,199.47,0.002243810143883307,198.45714285714286,194.18200000000002
2016-08-19,2016,8,19,Friday,33,2016-33,218.31,218.75,217.74,218.54,75443000,199.18,-0.001462027335902727,198.5614285714286,194.3198
2016-08-22,2016,8,22,Monday,34,2016-34,218.26,218.8,217.83,218.53,61368800,199.17,-4.588931695936882e-05,198.75571428571428,194.49380000000002
2016-08-23,2016,8,23,Tuesday,34,2016-34,219.25,219.6,218.9,218.97,53399200,199.57,0.002013399989029052,198.93785714285715,194.7052
2016-08-24,2016,8,24,Wednesday,34,2016-34,218.8,218.91,217.36,217.85,71728900,198.55,-0.005114754930640619,199.03214285714284,194.90379999999996
2016-08-25,2016,8,25,Thursday,34,2016-34,217.4,218.19,217.22,217.7,69224800,198.41,-0.0006886755411359413,199.0007142857143,195.10479999999998
2016-08-26,2016,8,26,Friday,34,2016-34,217.92,219.12,216.25,217.29,122506300,198.04,-0.0018831848595843859,198.95142857142858,195.2872
2016-08-29,2016,8,29,Monday,35,2016-35,217.44,218.67,217.4,218.36,70502200,199.01,0.004924380619155455,198.96285714285713,195.503
2016-08-30,2016,8,30,Tuesday,35,2016-35,218.26,218.59,217.35,218.0,58114500,198.68,-0.001648776804507368,198.98642857142858,195.68800000000002
2016-08-31,2016,8,31,Wednesday,35,2016-35,217.61,217.75,216.47,217.38,85269500,198.12,-0.002843967986217888,198.90357142857144,195.851
2016-09-01,2016,9,1,Thursday,35,2016-35,217.37,217.73,216.03,217.39,97844200,198.13,4.598015952272938e-05,198.8342857142857,196.0204
2016-09-02,2016,9,2,Friday,35,2016-35,218.39,218.87,217.7,218.37,79293900,199.02,0.00450808189298324,198.7871428571429,196.1582
2016-09-06,2016,9,6,Tuesday,36,2016-36,218.7,219.12,217.86,219.03,56702100,199.62,0.00302223577057803,198.85642857142858,196.446
2016-09-07,2016,9,7,Wednesday,36,2016-36,218.84,219.22,218.3,219.01,76554900,199.6,-9.126757359423365e-05,198.89785714285716,196.7998
2016-09-08,2016,9,8,Thursday,36,2016-36,218.62,218.94,218.15,218.51,74102900,199.15,-0.0022831207308066093,198.875,197.079
2016-09-09,2016,9,9,Friday,36,2016-36,216.97,217.03,213.25,213.28,221589100,194.38,-0.02393460846048745,198.53214285714284,197.1996
2016-09-12,2016,9,12,Monday,37,2016-37,212.39,216.81,212.31,216.34,168110900,197.17,0.01434715341652737,198.3892857142857,197.3246
2016-09-13,2016,9,13,Tuesday,37,2016-37,214.84,215.15,212.5,213.23,182828800,194.34,-0.014375539642839108,198.01571428571427,197.385
2016-09-14,2016,9,14,Wednesday,37,2016-37,213.29,214.7,212.5,213.15,134185500,194.26,-0.0003751575064793178,197.70928571428573,197.4714
2016-09-15,2016,9,15,Thursday,37,2016-37,212.96,215.73,212.75,215.28,134427900,196.2,0.009992926043298711,197.5514285714286,197.5738
2016-09-16,2016,9,16,Friday,37,2016-37,213.48,213.69,212.57,213.37,155236400,195.45,-0.0038654802904367624,197.36642857142854,197.66359999999997
2016-09-19,2016,9,19,Monday,38,2016-38,214.13,214.88,213.03,213.41,80250500,195.48,0.00018737229407084222,197.1142857142857,197.697
2016-09-20,2016,9,20,Tuesday,38,2016-38,214.41,214.59,213.38,213.42,69665300,195.49,4.706846955815358e-05,196.88642857142858,197.717
2016-09-21,2016,9,21,Wednesday,38,2016-38,214.24,216.03,213.44,215.82,110284400,197.69,0.011245400405425432,196.8557142857143,197.75279999999998
2016-09-22,2016,9,22,Thursday,38,2016-38,217.0,217.53,216.71,217.18,76678700,198.94,0.006301347658963508,196.91357142857143,197.81399999999996
2016-09-23,2016,9,23,Friday,38,2016-38,216.72,216.88,215.88,215.99,73630900,197.85,-0.005479296969289726,196.82999999999998,197.8316
2016-09-26,2016,9,26,Monday,39,2016-39,215.02,215.23,214.01,214.24,89827300,196.24,-0.008102188469337857,196.5885714285714,197.8222
