Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-06-17,2016,6,17,Friday,24,2016-24,96.63,97.15,95.54,97.11,2133300,86.43,0.0034100240357979317,84.38142857142857,82.2024
2016-06-20,2016,6,20,Monday,25,2016-25,97.05,97.75,96.58,96.64,1225500,86.01,-0.004839989749966134,84.62214285714285,82.29879999999999
2016-06-21,2016,6,21,Tuesday,25,2016-25,96.95,97.55,96.79,97.46,1333900,86.74,0.008485164688175617,84.90571428571427,82.41359999999999
2016-06-22,2016,6,22,Wednesday,25,2016-25,97.46,97.46,96.9,97.35,1315100,86.65,-0.0011287143325435789,85.19785714285715,82.517
2016-06-23,2016,6,23,Thursday,25,2016-25,97.74,97.87,96.56,97.12,1169600,86.44,-0.0023626498449379474,85.42785714285715,82.6168
2016-06-24,2016,6,24,Friday,25,2016-25,95.66,98.49,95.45,97.97,1920300,87.2,0.008752145207180817,85.72571428571428,82.73020000000001
2016-06-27,2016,6,27,Monday,26,2016-26,97.24,97.38,96.41,97.21,1631200,86.52,-0.007757499757854336,85.98,82.80680000000001
2016-06-28,2016,6,28,Tuesday,26,2016-26,97.29,97.29,95.46,96.23,1456100,85.65,-0.010081383315309278,86.14,82.8566
2016-06-29,2016,6,29,Wednesday,26,2016-26,97.19,97.24,96.24,97.14,1603700,86.46,0.009456639409603396,86.18571428571428,82.9134
2016-06-30,2016,6,30,Thursday,26,2016-26,97.55,117.79,97.48,113.49,19899400,101.01,0.16831364879076882,87.27214285714285,83.31380000000001
2016-07-01,2016,7,1,Friday,26,2016-26,112.1,114.59,108.54,111.95,6594200,99.64,-0.013569354330825179,88.31000000000002,83.71879999999999
2016-07-05,2016,7,5,Tuesday,27,2016-27,110.0,113.11,109.1,110.55,2600800,98.39,-0.01250562788859999,89.19785714285715,84.085
2016-07-06,2016,7,6,Wednesday,27,2016-27,110.94,111.68,108.7,109.29,4177300,97.27,-0.011397622496469473,90.03928571428571,84.41439999999999
2016-07-07,2016,7,7,Thursday,27,2016-27,110.0,110.84,109.0,110.04,2007900,97.94,0.006862465044127575,90.88214285714285,84.7884
2016-07-08,2016,7,8,Friday,27,2016-27,110.43,110.86,109.43,110.7,1113900,98.53,0.005997831292639866,91.74642857142858,85.15180000000001
2016-07-11,2016,7,11,Monday,28,2016-28,110.5,112.63,109.63,110.14,2617600,98.03,-0.005058643106952143,92.605,85.49119999999999
2016-07-12,2016,7,12,Tuesday,28,2016-28,110.18,110.55,108.74,108.74,1545800,96.78,-0.012711141197778164,93.32214285714285,85.78
2016-07-13,2016,7,13,Wednesday,28,2016-28,108.54,109.59,108.19,108.33,1130300,96.42,-0.0037706089889829597,94.02,86.0508
2016-07-14,2016,7,14,Thursday,28,2016-28,108.61,109.73,107.87,108.09,1312700,96.2,-0.0022152849279281073,94.71714285714286,86.33239999999999
2016-07-15,2016,7,15,Friday,28,2016-28,108.43,112.0,107.83,110.66,2810000,98.49,0.023776461467307275,95.52357142857144,86.6726
2016-07-18,2016,7,18,Monday,29,2016-29,110.39,110.94,108.98,109.37,756600,97.34,-0.011657412090303687,96.29642857142856,86.994
2016-07-19,2016,7,19,Tuesday,29,2016-29,109.38,109.68,108.73,109.34,1158600,97.32,-0.00027423826579209276,97.13,87.32019999999999
2016-07-20,2016,7,20,Wednesday,29,2016-29,109.01,109.49,108.52,109.12,882000,97.12,-0.0020119197405287226,97.89142857142858,87.62719999999999
2016-07-21,2016,7,21,Thursday,29,2016-29,109.39,109.86,108.58,109.59,1153000,97.54,0.004307053613343603,97.64357142857143,87.93039999999999
2016-07-22,2016,7,22,Friday,29,2016-29,109.5,110.22,109.38,109.95,961500,97.86,0.003284878327468377,97.51642857142858,88.2562
2016-07-25,2016,7,25,Monday,30,2016-30,110.32,111.36,110.0,110.98,1584500,98.78,0.009368002844080792,97.54428571428572,88.5842
2016-07-26,2016,7,26,Tuesday,30,2016-30,111.0,111.45,109.26,109.54,722700,97.49,-0.012975407050390797,97.56000000000002,88.899
2016-07-27,2016,7,27,Wednesday,30,2016-30,109.94,109.94,108.14,108.19,1257000,96.29,-0.01232407399437041,97.44214285714285,89.18539999999999
2016-07-28,2016,7,28,Thursday,30,2016-30,109.48,112.22,108.41,111.35,2138300,99.11,0.029207635364375095,97.48357142857142,89.5634
2016-07-29,2016,7,29,Friday,30,2016-30,111.02,111.91,110.27,110.76,1272100,98.58,-0.005298398871374732,97.52285714285715,89.9454
2016-08-01,2016,8,1,Monday,31,2016-31,109.16,111.0,108.75,110.89,1541300,98.7,0.0011735810225974586,97.66,90.31639999999999
2016-08-02,2016,8,2,Tuesday,31,2016-31,110.63,112.45,109.93,112.17,1609700,99.84,0.01154302234796667,97.90428571428572,90.7078
2016-08-03,2016,8,3,Wednesday,31,2016-31,112.18,112.18,109.95,110.48,961800,98.33,-0.015066228404545301,98.05642857142857,91.06120000000001
2016-08-04,2016,8,4,Thursday,31,2016-31,110.71,111.43,110.16,110.72,505200,98.54,0.0021722511270341194,98.05999999999999,91.406
2016-08-05,2016,8,5,Friday,31,2016-31,110.83,111.87,110.51,111.65,836000,99.37,0.008399508534452593,98.20500000000001,91.76719999999999
2016-08-08,2016,8,8,Monday,32,2016-32,111.63,111.8,109.98,110.69,586900,98.52,-0.008598182474543914,98.2907142857143,92.09720000000002
2016-08-09,2016,8,9,Tuesday,32,2016-32,110.42,111.07,110.25,110.27,720100,98.14,-0.003794556651602443,98.36357142857142,92.41159999999999
2016-08-10,2016,8,10,Wednesday,32,2016-32,110.44,112.1,110.44,111.76,582100,99.47,0.01351231174943468,98.50142857142858,92.7482
2016-08-11,2016,8,11,Thursday,32,2016-32,112.0,112.75,111.07,112.04,1281600,99.72,0.0025054085069913246,98.63428571428571,93.08720000000001
2016-08-12,2016,8,12,Friday,32,2016-32,111.81,112.5,111.47,111.47,708200,99.21,-0.005087503047903619,98.66499999999999,93.42020000000001
2016-08-15,2016,8,15,Monday,33,2016-33,111.41,112.75,111.04,111.82,1116100,99.52,0.0031397351715012345,98.80999999999999,93.74619999999999
2016-08-16,2016,8,16,Tuesday,33,2016-33,111.35,111.86,110.92,111.5,1072500,99.24,-0.0028616017794688142,99.02071428571428,94.07039999999999
2016-08-17,2016,8,17,Wednesday,33,2016-33,111.69,113.74,111.43,113.43,1415600,100.96,0.017309447660931232,99.15285714285714,94.43039999999999
2016-08-18,2016,8,18,Thursday,33,2016-33,113.59,113.88,112.18,113.07,815200,100.64,-0.0031739002457186194,99.29999999999998,94.775
2016-08-19,2016,8,19,Friday,33,2016-33,112.93,114.12,112.38,113.62,2564900,101.13,0.004864291402312038,99.47357142857143,95.08120000000001
2016-08-22,2016,8,22,Monday,34,2016-34,113.38,114.16,113.18,113.89,818000,101.37,0.0023762750023972323,99.58285714285714,95.3926
2016-08-23,2016,8,23,Tuesday,34,2016-34,113.31,113.91,112.7,113.06,1145600,101.18,-0.0018716305456848437,99.78642857142857,95.71400000000001
2016-08-24,2016,8,24,Wednesday,34,2016-34,112.78,112.78,110.89,110.89,1745000,99.23,-0.019193284816115708,99.83571428571429,95.9794
2016-08-25,2016,8,25,Thursday,34,2016-34,110.9,112.05,110.7,111.0,656300,99.33,0.0009920135337615488,99.83285714285714,96.25619999999999
2016-08-26,2016,8,26,Friday,34,2016-34,111.18,112.4,110.64,110.88,607300,99.23,-0.0010812008987554078,99.88357142857141,96.51800000000001
2016-08-29,2016,8,29,Monday,35,2016-35,110.58,112.0,110.58,111.67,1801200,99.93,0.0071248732767659195,100.01142857142858,96.788
2016-08-30,2016,8,30,Tuesday,35,2016-35,99.25,100.24,98.75,99.65,7956100,89.18,-0.10763866860064786,99.27642857142858,96.8514
2016-08-31,2016,8,31,Wednesday,35,2016-35,99.95,101.14,99.5,99.89,3255300,89.39,0.002408440175016846,98.53857142857143,96.90440000000001
2016-09-01,2016,9,1,Thursday,35,2016-35,100.06,100.45,99.43,99.54,1189300,89.08,-0.003503567451013434,97.81500000000001,96.95300000000002
2016-09-02,2016,9,2,Friday,35,2016-35,100.0,100.26,99.17,99.3,2461300,88.86,-0.0024114435780872023,97.05357142857143,97.00139999999999
2016-09-06,2016,9,6,Tuesday,36,2016-36,99.63,99.89,99.13,99.79,1371500,89.3,0.0049349109296612514,96.34357142857142,97.0434
2016-09-07,2016,9,7,Wednesday,36,2016-36,99.64,99.77,98.86,99.13,1439300,88.71,-0.006613980483221482,95.46857142857142,97.0872
2016-09-08,2016,9,8,Thursday,36,2016-36,99.05,99.19,98.0,98.09,1151200,87.78,-0.010491260923362056,94.55,97.12979999999999
2016-09-09,2016,9,9,Friday,36,2016-36,97.79,97.9,96.16,96.18,1457500,86.07,-0.019471817826256954,93.4742857142857,97.12199999999999
2016-09-12,2016,9,12,Monday,37,2016-37,96.58,97.77,95.8,97.48,1565500,87.23,0.013516061342022212,92.46428571428571,96.84639999999999
2016-09-13,2016,9,13,Tuesday,37,2016-37,97.25,97.27,95.98,96.01,1451100,85.92,-0.015080005611360137,91.37428571428572,96.572
